model	errant	k	prompt
mimir-7b-rightholders	28.38	1	2
mimir-7b-rightholders	21.53	1	0
mimir-7b-rightholders	27.43	1	4
mimir-7b-rightholders	29.76	1	1
mimir-7b-rightholders	23.73	1	3
mimir-7b-rightholders	35.19	4	1
mimir-7b-rightholders	34.22	4	3
mimir-7b-rightholders	34.410000000000004	4	2
mimir-7b-rightholders	33.92	4	0
mimir-7b-rightholders	34.95	4	4
mimir-7b-rightholders	36.63	16	3
mimir-7b-rightholders	35.14	16	2
mimir-7b-rightholders	36.55	16	0
mimir-7b-rightholders	36.870000000000005	16	4
mimir-7b-rightholders	36.15	16	1
mimir-7b-untranslated-withnewspapers	3.61	0	1
mimir-7b-untranslated-withnewspapers	7.93	0	3
mimir-7b-untranslated-withnewspapers	5.8500000000000005	0	4
mimir-7b-untranslated-withnewspapers	6.69	0	2
mimir-7b-untranslated-withnewspapers	1.49	0	0
mimir-7b-untranslated-withnewspapers	24.46	1	3
mimir-7b-untranslated-withnewspapers	25.73	1	4
mimir-7b-untranslated-withnewspapers	27.88	1	2
mimir-7b-untranslated-withnewspapers	23.24	1	0
mimir-7b-untranslated-withnewspapers	29.7	1	1
mimir-7b-untranslated-withnewspapers	35.24	4	1
mimir-7b-untranslated-withnewspapers	33.900000000000006	4	3
mimir-7b-untranslated-withnewspapers	34.54	4	4
mimir-7b-untranslated-withnewspapers	34.52	4	2
mimir-7b-untranslated-withnewspapers	33.910000000000004	4	0
mimir-7b-untranslated-withnewspapers	36.74	16	0
mimir-7b-untranslated-withnewspapers	36.26	16	1
mimir-7b-untranslated-withnewspapers	36.21	16	3
mimir-7b-untranslated-withnewspapers	36.53	16	4
mimir-7b-untranslated-withnewspapers	35.89	16	2
mimir-7b-untranslated	9.94	0	2
mimir-7b-untranslated	2.17	0	0
mimir-7b-untranslated	7.33	0	4
mimir-7b-untranslated	5.050000000000001	0	1
mimir-7b-untranslated	7.33	0	3
mimir-7b-untranslated	24.56	1	0
mimir-7b-untranslated	28.2	1	4
mimir-7b-untranslated	30.14	1	1
mimir-7b-untranslated	24.17	1	3
mimir-7b-untranslated	29.25	1	2
mimir-7b-untranslated	35.05	4	4
mimir-7b-untranslated	35.3	4	1
mimir-7b-untranslated	34.06	4	3
mimir-7b-untranslated	35.29	4	2
mimir-7b-untranslated	34.34	4	0
mimir-7b-untranslated	35.99	16	2
mimir-7b-untranslated	36.57	16	0
mimir-7b-untranslated	36.35	16	4
mimir-7b-untranslated	35.74	16	1
mimir-7b-untranslated	35.76	16	3
mimir-7b-translated	1.98	0	0
mimir-7b-translated	12.46	0	2
mimir-7b-translated	6.44	0	4
mimir-7b-translated	4.55	0	3
mimir-7b-translated	3.93	0	1
mimir-7b-translated	25.36	1	2
mimir-7b-translated	23.15	1	4
mimir-7b-translated	17.89	1	3
mimir-7b-translated	25.72	1	1
mimir-7b-translated	17.54	1	0
mimir-7b-translated	30.96	4	4
mimir-7b-translated	31.9	4	3
mimir-7b-translated	31.61	4	1
mimir-7b-translated	29.29	4	0
mimir-7b-translated	31.82	4	2
mimir-7b-translated	33.27	16	0
mimir-7b-translated	34.12	16	2
mimir-7b-translated	35.35	16	4
mimir-7b-translated	33.7	16	3
mimir-7b-translated	32.78	16	1
mimir-mistral-7b-base	1.46	0	1
mimir-mistral-7b-base	22.22	0	3
mimir-mistral-7b-base	9.26	0	4
mimir-mistral-7b-base	20.92	0	2
mimir-mistral-7b-base	1.23	0	0
mimir-mistral-7b-base	36.36	1	1
mimir-mistral-7b-base	43.19	1	3
mimir-mistral-7b-base	44.5	1	4
mimir-mistral-7b-base	44.12	1	2
mimir-mistral-7b-base	33.58	1	0
mimir-mistral-7b-base	44.98	4	1
mimir-mistral-7b-base	47.74	4	3
mimir-mistral-7b-base	47.56	4	4
mimir-mistral-7b-base	46.78	4	2
mimir-mistral-7b-base	45.51	4	0
mimir-mistral-7b-base	49.3	16	1
mimir-mistral-7b-base	50.080000000000005	16	3
mimir-mistral-7b-base	49.09	16	4
mimir-mistral-7b-base	47.92	16	2
mimir-mistral-7b-base	48.47	16	0
mimir-mistral-7b-extended-scratch	1.46	0	0
mimir-mistral-7b-extended-scratch	7.939999999999999	0	4
mimir-mistral-7b-extended-scratch	2.43	0	1
mimir-mistral-7b-extended-scratch	2.04	0	3
mimir-mistral-7b-extended-scratch	5.140000000000001	0	2
mimir-mistral-7b-extended-scratch	27.23	1	2
mimir-mistral-7b-extended-scratch	19.33	1	0
mimir-mistral-7b-extended-scratch	30.29	1	4
mimir-mistral-7b-extended-scratch	23.19	1	1
mimir-mistral-7b-extended-scratch	21.95	1	3
mimir-mistral-7b-extended-scratch	35.29	4	2
mimir-mistral-7b-extended-scratch	30.75	4	0
mimir-mistral-7b-extended-scratch	37.07	4	4
mimir-mistral-7b-extended-scratch	32.1	4	1
mimir-mistral-7b-extended-scratch	34.73	4	3
mimir-mistral-7b-extended-scratch	39.24	16	3
mimir-mistral-7b-extended-scratch	39.3	16	2
mimir-mistral-7b-extended-scratch	37.38	16	0
mimir-mistral-7b-extended-scratch	41.65	16	4
mimir-mistral-7b-extended-scratch	37.08	16	1
mimir-mistral-7b-core-scratch	0.6	0	0
mimir-mistral-7b-core-scratch	0.63	0	1
mimir-mistral-7b-core-scratch	0.91	0	2
mimir-mistral-7b-core-scratch	2.39	0	3
mimir-mistral-7b-core-scratch	1.6500000000000001	0	4
mimir-mistral-7b-core-scratch	11.0	1	0
mimir-mistral-7b-core-scratch	15.58	1	1
mimir-mistral-7b-core-scratch	19.99	1	2
mimir-mistral-7b-core-scratch	14.17	1	3
mimir-mistral-7b-core-scratch	20.25	1	4
mimir-mistral-7b-core-scratch	27.250000000000004	4	0
mimir-mistral-7b-core-scratch	29.409999999999997	4	1
mimir-mistral-7b-core-scratch	31.66	4	2
mimir-mistral-7b-core-scratch	31.03	4	3
mimir-mistral-7b-core-scratch	33.44	4	4
mimir-mistral-7b-core-scratch	32.47	16	0
mimir-mistral-7b-core-scratch	32.97	16	1
mimir-mistral-7b-core-scratch	34.589999999999996	16	2
mimir-mistral-7b-core-scratch	33.800000000000004	16	3
mimir-mistral-7b-core-scratch	37.580000000000005	16	4
